

DIM     | INSERTION     | MERGE         | QUICKSORT     | BUBBLE        | SELECTION
2       | 3.91e-07      | 3.787e-06     |2.7e-07        |2.7e-07        |2.11e-07
3       | 3.61e-07      | 1.212e-06     |3.31e-07       |3.41e-07       |2.7e-07
4       | 4.3e-07       | 1.594e-06     |4.61e-07       |4.61e-07       |4.31e-07
5       | 3.21e-07      | 1.754e-06     |4.21e-07       |5.11e-07       |4.41e-07
6       | 3.91e-07      | 2.195e-06     |4.81e-07       |5.92e-07       |4.41e-07
7       | 5.71e-07      | 2.986e-06     |8.61e-07       |7.52e-07       |6.91e-07
8       | 7.12e-07      | 3.386e-06     |8.92e-07       |1.072e-06      |7.92e-07
9       | 5.51e-07      | 3.437e-06     |9.82e-07       |1.212e-06      |9.32e-07
10      | 7.41e-07      | 4.389e-06     |1.152e-06      |1.232e-06      |1.213e-06
11      | 9.22e-07      | 4.769e-06     |1.142e-06      |1.413e-06      |1.583e-06
12      | 9.02e-07      | 5.04e-06      |2.5861e-05     |1.724e-06      |1.643e-06
13      | 1.954e-06     | 8.327e-06     |1.633e-06      |2.135e-06      |2.555e-06
14      | 1.062e-06     | 8.748e-06     |1.984e-06      |2.344e-06      |2.485e-06
15      | 1.162e-06     | 6.543e-06     |1.613e-06      |2.175e-06      |2.264e-06
16      | 1.312e-06     | 6.763e-06     |1.703e-06      |2.475e-06      |3.157e-06
17      | 1.623e-06     | 7.294e-06     |1.813e-06      |2.484e-06      |3.056e-06
18      | 1.363e-06     | 7.825e-06     |2.385e-06      |2.866e-06      |3.888e-06
19      | 1.513e-06     | 7.956e-06     |1.833e-06      |3.126e-06      |4.038e-06
20      | 1.373e-06     | 8.437e-06     |1.953e-06      |3.276e-06      |4.188e-06
21      | 1.393e-06     | 1.0661e-05    |2.725e-06      |4.148e-06      |5.961e-06
22      | 2.706e-06     | 1.3908e-05    |3.507e-06      |4.84e-06       |7.395e-06
23      | 2.966e-06     | 1.6753e-05    |3.146e-06      |5.21e-06       |5.561e-06
24      | 2.374e-06     | 1.0311e-05    |2.616e-06      |4.378e-06      |5.511e-06
25      | 1.944e-06     | 1.0591e-05    |2.615e-06      |4.709e-06      |5.742e-06
26      | 2.294e-06     | 1.1412e-05    |2.825e-06      |6.002e-06      |8.968e-06
27      | 2.454e-06     | 1.2054e-05    |3.186e-06      |5.431e-06      |7.616e-06
28      | 2.896e-06     | 1.2484e-05    |3.327e-06      |5.661e-06      |7.595e-06
29      | 2.615e-06     | 1.2605e-05    |2.965e-06      |5.941e-06      |8.757e-06
30      | 3.347e-06     | 1.3667e-05    |3.708e-06      |6.633e-06      |1.0531e-05
31      | 4.229e-06     | 1.8617e-05    |4.379e-06      |7.755e-06      |1.0511e-05
32      | 4.278e-06     | 1.9218e-05    |4.9e-06        |8.617e-06      |1.0451e-05
33      | 3.116e-06     | 1.7093e-05    |3.3717e-05     |9.518e-06      |1.2555e-05
34      | 3.316e-06     | 1.526e-05     |4.278e-06      |8.196e-06      |1.0561e-05
35      | 4.599e-06     | 2.1923e-05    |4.7e-06        |8.937e-06      |1.1783e-05
36      | 3.967e-06     | 1.6282e-05    |4.549e-06      |9.068e-06      |1.2044e-05
37      | 6.102e-06     | 2.554e-05     |5.02e-06       |1.0741e-05     |1.5902e-05
38      | 5.14e-06      | 2.6413e-05    |5.821e-06      |1.1913e-05     |1.549e-05
39      | 6.603e-06     | 2.5581e-05    |5.571e-06      |1.2214e-05     |1.8326e-05
40      | 5.852e-06     | 2.4718e-05    |5.852e-06      |1.3216e-05     |1.5541e-05
41      | 6.212e-06     | 2.7264e-05    |6.022e-06      |1.2515e-05     |2.0351e-05
42      | 7.024e-06     | 2.6022e-05    |6.002e-06      |1.4518e-05     |1.9018e-05
43      | 6.753e-06     | 2.5971e-05    |8.366e-06      |1.5551e-05     |1.9779e-05
44      | 7.515e-06     | 3.0941e-05    |6.723e-06      |1.5661e-05     |2.047e-05
45      | 7.735e-06     | 3.2935e-05    |6.503e-06      |1.6763e-05     |2.4538e-05
46      | 8.527e-06     | 2.516e-05     |5.691e-06      |1.3677e-05     |1.7294e-05
